film_id,film,year,length,imdb_categories,imdb_ratings,imdb_stars,mentions,list_2020,list_2021,mpaa,imdb_pct10,dr_love,imdb_link
1,8 1/2,1963,138,Drama,113258,8,1,1,0,NR,27.6,No,https://www.imdb.com/title/tt0056801/
2,2001: A Space Odyssey,1968,149,"Adventure, Sci-Fi",628220,8.3,1,0,1,G,30.4,Yes,https://www.imdb.com/title/tt0062622/
3,About Time,2013,123,"Comedy, Drama, Fantasy",321525,7.8,2,2,0,R,16.9,No,https://www.imdb.com/title/tt2194499/
4,Avatar,2009,162,"Action, Adventure, Fantasy",1154273,7.8,1,1,0,PG-13,21.4,No,https://www.imdb.com/title/tt0499549/
5,Avengers: Endgame,2019,181,"Action, Adventure, Drama",933367,8.4,2,1,1,PG-13,36.1,Yes,https://www.imdb.com/title/tt4154796/
6,Avengers: Infinity War,2018,149,"Action, Adventure, Sci-Fi",919813,8.4,1,1,0,PG-13,33.9,Yes,https://www.imdb.com/title/tt4154756/
7,Back to the Future,1985,116,"Adventure, Comedy, Sci-Fi",1110099,8.5,1,1,0,PG,25.7,Yes,https://www.imdb.com/title/tt0088763/
8,Back to the Future Part II,1989,108,"Adventure, Comedy, Sci-Fi",500471,7.8,1,0,1,PG,15,Yes,https://www.imdb.com/title/tt0096874/
9,Beaches,1988,123,"Comedy, Drama, Music",24694,7,1,1,0,PG-13,17.6,No,https://www.imdb.com/title/tt0094715/
10,Beetlejuice,1988,92,"Comedy, Fantasy",274473,7.5,1,1,0,PG,12.2,Yes,https://www.imdb.com/title/tt0094721/
11,Being John Malkovich,1999,113,"Comedy, Drama, Fantasy",322833,7.7,1,1,0,R,12.5,No,https://www.imdb.com/title/tt0120601/
12,The Big Lebowski,1998,117,"Comedy, Crime, Sport",764336,8.1,1,1,0,R,22.1,Yes,https://www.imdb.com/title/tt0118715/
13,Black Panther,2018,134,"Action, Adventure, Sci-Fi",673885,7.3,1,1,0,PG-13,14.6,Yes,https://www.imdb.com/title/tt1825683/
14,Black Swan,2010,108,"Drama, Thriller",722654,8,1,1,0,R,15.5,No,https://www.imdb.com/title/tt0947798/
15,Blue Velvet,1986,120,"Drama, Mystery, Thriller",188756,7.7,1,0,1,R,16,Yes,https://www.imdb.com/title/tt0090756/
16,Capharnaum,2018,126,Drama,74475,8.4,1,0,1,R,25.4,No,https://www.imdb.com/title/tt8267604/
17,Casablanca,1942,102,"Drama, Romance, War",541788,8.5,1,0,1,PG,29.9,Yes,https://www.imdb.com/title/tt0034583/
18,Castle in the Sky,1986,125,"Animation, Adventure, Drama",157056,8,1,1,0,PG,17.4,No,https://www.imdb.com/title/tt0092067/
19,Cloud Atlas,2012,172,"Action, Drama, Mystery",351370,7.4,1,0,1,R,15.9,No,https://www.imdb.com/title/tt1371111/
20,Coming To America,1988,116,"Comedy, Romance",198454,7.1,1,1,0,R,10.1,Yes,https://www.imdb.com/title/tt0094898/
21,The Dark Knight,2008,152,"Action, Crime, Drama",2412730,9,2,1,1,PG-13,45,Yes,https://www.imdb.com/title/tt0468569/
22,The Dark Knight Rises,2012,164,"Action, Adventure",1574645,8.4,2,1,1,PG-13,28.1,Yes,https://www.imdb.com/title/tt1345836/
23,The Departed,2006,151,"Crime, Drama, Thriller",1237811,8.5,1,0,1,R,22.8,Yes,https://www.imdb.com/title/tt0407887/
24,Despicable Me,2010,95,"Animation, Adventure, Comedy",516295,7.6,1,0,1,PG,12.4,Yes,https://www.imdb.com/title/tt1323594/
25,Doctor Zhivago,1965,197,"Drama, Romance, War",72627,8,1,0,1,PG-13,20.9,No,https://www.imdb.com/title/tt0059113/
26,Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Sci-Fi",946429,8.3,1,1,0,R,23.6,No,https://www.imdb.com/title/tt0338013/
27,Eurovision Song Contest: The Story of Fire Saga,2020,123,"Comedy, Music",85459,6.5,2,1,1,PG-13,9.3,Yes,https://www.imdb.com/title/tt8580274/
28,Everybody Wants Some!!,2016,117,Comedy,53608,6.9,1,1,0,R,6.5,No,https://www.imdb.com/title/tt2937696/
29,Face/Off,1997,138,"Action, Crime, Sci-Fi",359821,7.2,1,1,0,R,8.8,Yes,https://www.imdb.com/title/tt0119094/
30,Farewell My Concubine: the Beijing Opera,2014,97,Musical,8,6.1,1,1,0,NR,12.5,No,https://www.imdb.com/title/tt7435474/
31,A Fistful of Dollars,1964,99,"Action, Drama, Western",206142,8,1,0,1,R,13.3,No,https://www.imdb.com/title/tt0058461/
32,Flags of our Fathers,2006,135,"Action, Adventure, Drama",120304,7.1,1,0,1,R,6.2,No,https://www.imdb.com/title/tt0418689/
33,Gattaca,1997,106,"Drama, Sci-Fi, Thriller",289313,7.8,1,0,1,PG-13,12.9,No,https://www.imdb.com/title/tt0119177/
34,Get Out,2017,104,"Horror, Mystery, Thriller",527977,7.7,1,0,1,R,11.4,No,https://www.imdb.com/title/tt5052448/
35,Get Smart,2008,110,"Action, Adventure, Comedy",209977,6.5,1,1,0,PG-13,5.9,Yes,https://www.imdb.com/title/tt0425061/
36,Ghost,1990,127,"Drama, Fantasy, Romance",205071,7.1,1,0,1,PG-13,9.8,No,https://www.imdb.com/title/tt0099653/
37,The Girl with the Dragon Tattoo,2011,158,"Crime, Drama, Mystery",439159,7.8,1,1,0,R,11.2,No,https://www.imdb.com/title/tt1568346/
38,The Godfather,1972,175,"Crime, Drama",1700227,9.2,1,1,0,R,51.6,Yes,https://www.imdb.com/title/tt0068646/
39,The Grand Budapest Hotel,2014,99,"Adventure, Comedy, Crime",743330,8.1,2,1,1,R,15.9,No,https://www.imdb.com/title/tt2278388/
40,The Great Muppet Caper,1981,97,"Adventure, Comedy, Crime",14712,7.2,1,0,1,G,12.6,Yes,https://www.imdb.com/title/tt0082474/
41,The Greatest Showman,2017,105,"Biography, Drama, Musical",254937,7.6,1,1,0,PG,23,No,https://www.imdb.com/title/tt1485796/
