student,statfuture,year
202101,7,2021
202102,6,2021
202103,6,2021
202106,6,2021
202107,7,2021
202108,7,2021
202109,7,2021
202110,7,2021
202111,6,2021
202112,7,2021
202113,6,2021
202114,5,2021
202116,7,2021
202117,7,2021
202118,7,2021
202119,6,2021
202120,7,2021
202121,7,2021
202122,6,2021
202123,7,2021
202124,7,2021
202125,6,2021
202126,7,2021
202127,6,2021
202128,7,2021
202129,6,2021
202130,7,2021
202131,7,2021
202132,7,2021
202133,7,2021
202134,6,2021
202135,7,2021
202136,6,2021
202137,5,2021
202138,5,2021
202139,6,2021
202140,7,2021
202141,5,2021
202142,6,2021
202143,6,2021
202144,6,2021
202145,5,2021
202146,5,2021
202147,7,2021
202148,7,2021
202149,6,2021
202150,7,2021
202151,5,2021
202152,5,2021
202153,7,2021
202154,7,2021
202155,7,2021
202156,7,2021
202158,6,2021
