student,statfuture,year
201501,7,2015
201502,7,2015
201503,7,2015
201504,7,2015
201505,5,2015
201506,7,2015
201507,7,2015
201508,6,2015
201509,6,2015
201510,5,2015
201511,7,2015
201512,6,2015
201513,7,2015
201514,6,2015
201515,6,2015
201516,7,2015
201517,6,2015
201518,7,2015
201519,6,2015
201520,5,2015
201521,6,2015
201522,5,2015
201523,6,2015
201524,5,2015
201525,4,2015
201526,6,2015
201527,6,2015
201528,3,2015
201529,5,2015
201530,5,2015
201531,7,2015
201532,6,2015
201533,5,2015
201534,5,2015
201535,5,2015
201536,7,2015
201537,7,2015
201538,6,2015
201539,6,2015
201540,6,2015
201541,7,2015
201542,7,2015
201543,6,2015
201544,6,2015
201545,6,2015
201546,7,2015
201547,7,2015
201548,7,2015
201549,7,2015
201601,7,2016
201602,7,2016
201603,5,2016
201604,7,2016
201605,7,2016
201606,7,2016
201607,7,2016
201608,7,2016
201609,6,2016
201610,6,2016
201611,7,2016
201612,6,2016
201613,7,2016
201614,7,2016
201615,7,2016
201616,7,2016
201617,5,2016
201618,7,2016
201619,5,2016
201620,5,2016
201621,6,2016
201622,6,2016
201623,6,2016
201624,6,2016
201625,7,2016
201626,7,2016
201627,7,2016
201628,6,2016
201629,6,2016
201630,6,2016
201631,6,2016
201632,7,2016
201633,4,2016
201634,7,2016
201635,6,2016
201636,6,2016
201637,7,2016
201638,7,2016
201639,7,2016
201640,6,2016
201641,6,2016
201642,5,2016
201643,5,2016
201644,7,2016
201645,5,2016
201646,7,2016
201647,7,2016
201648,7,2016
201649,7,2016
201650,7,2016
201651,7,2016
201652,7,2016
201653,7,2016
201654,6,2016
201655,6,2016
201656,7,2016
201657,6,2016
201658,6,2016
201659,7,2016
201660,7,2016
201661,7,2016
201662,7,2016
201663,7,2016
201664,7,2016
201701,5,2017
201702,5,2017
201703,7,2017
201704,7,2017
201705,7,2017
201706,5,2017
201707,6,2017
201708,7,2017
201709,7,2017
201710,7,2017
201711,7,2017
201712,7,2017
201713,7,2017
201714,6,2017
201715,7,2017
201716,6,2017
201717,7,2017
201718,7,2017
201719,7,2017
201720,7,2017
201721,6,2017
201722,5,2017
201723,7,2017
201724,5,2017
201725,7,2017
201726,6,2017
201727,7,2017
201728,7,2017
201729,7,2017
201730,5,2017
201731,7,2017
201732,7,2017
201733,7,2017
201734,6,2017
201735,7,2017
201736,7,2017
201737,7,2017
201738,5,2017
201739,6,2017
201740,5,2017
201741,7,2017
201742,7,2017
201743,7,2017
201744,7,2017
201745,7,2017
201746,6,2017
201747,6,2017
201748,6,2017
201801,7,2018
201802,7,2018
201803,7,2018
201804,7,2018
201805,7,2018
201806,5,2018
201807,7,2018
201808,6,2018
201809,6,2018
201810,6,2018
201811,7,2018
201812,7,2018
201813,7,2018
201814,6,2018
201815,6,2018
201816,6,2018
201817,5,2018
201818,7,2018
201819,7,2018
201820,7,2018
201821,7,2018
201822,7,2018
201823,7,2018
201824,6,2018
201825,7,2018
201826,6,2018
201827,7,2018
201828,7,2018
201829,6,2018
201830,7,2018
201831,7,2018
201832,6,2018
201833,5,2018
201834,6,2018
201835,7,2018
201836,6,2018
201837,7,2018
201838,7,2018
201839,7,2018
201840,7,2018
201841,5,2018
201842,7,2018
201843,7,2018
201844,7,2018
201845,5,2018
201846,7,2018
201847,6,2018
201848,6,2018
201849,7,2018
201850,7,2018
201851,5,2018
202001,7,2020
202002,6,2020
202003,7,2020
202004,7,2020
202005,7,2020
202006,6,2020
202007,7,2020
202008,7,2020
202009,6,2020
202010,6,2020
202011,5,2020
202012,6,2020
202013,6,2020
202014,5,2020
202015,5,2020
202016,7,2020
202017,6,2020
202018,6,2020
202019,7,2020
202020,7,2020
202021,6,2020
202022,7,2020
202023,6,2020
202024,7,2020
202025,6,2020
202026,6,2020
202027,6,2020
202028,6,2020
202029,7,2020
202030,7,2020
202031,7,2020
202032,5,2020
202033,6,2020
202034,6,2020
202035,5,2020
202036,6,2020
202037,6,2020
202038,5,2020
202039,6,2020
202040,4,2020
202041,7,2020
202042,6,2020
202043,6,2020
202044,7,2020
202045,7,2020
202046,7,2020
202047,6,2020
202048,6,2020
202049,7,2020
202050,6,2020
202051,7,2020
202052,7,2020
202053,7,2020
202054,6,2020
202055,7,2020
202056,7,2020
202057,6,2020
202058,6,2020
202059,7,2020
202060,6,2020
202061,4,2020
202062,5,2020
202063,7,2020
202064,5,2020
202065,7,2020
202066,5,2020
202067,7,2020
